Post #,Sentiment
post1,Neutral Sentiment
post2,Positive Sentiment
post3,Positive Sentiment
post4,Positive Sentiment
post5,Positive Sentiment
post6,Negative Sentiment
post7,Positive Sentiment
post8,Neutral Sentiment
post9,Neutral Sentiment
post10,Positive Sentiment
post11,Neutral Sentiment
post12,Neutral Sentiment
post13,Neutral Sentiment
post14,Negative Sentiment
post15,Neutral Sentiment
post16,Neutral Sentiment
post17,Neutral Sentiment
post18,Neutral Sentiment
post19,Neutral Sentiment
post20,Neutral Sentiment
post21,Neutral Sentiment
post22,Positive Sentiment
post23,Positive Sentiment
post24,Neutral Sentiment
post25,Positive Sentiment
post26,Positive Sentiment
post27,Negative Sentiment
post28,Positive Sentiment
post29,Neutral Sentiment
post30,Neutral Sentiment
post31,Positive Sentiment
post32,Neutral Sentiment
post33,Positive Sentiment
post34,Negative Sentiment
post35,Positive Sentiment
post36,Negative Sentiment
post37,Neutral Sentiment
post38,Positive Sentiment
post39,Negative Sentiment
post40,Neutral Sentiment
post41,Positive Sentiment
post42,Neutral Sentiment
post43,Positive Sentiment
post44,Positive Sentiment
post45,Neutral Sentiment
post46,Positive Sentiment
post47,Positive Sentiment
post48,Positive Sentiment
post49,Negative Sentiment
post50,Neutral Sentiment
post51,Neutral Sentiment
post52,Positive Sentiment
post53,Negative Sentiment
post54,Positive Sentiment
post55,Positive Sentiment
post56,Neutral Sentiment
post57,Positive Sentiment
post58,Positive Sentiment
post59,Negative Sentiment
post60,Positive Sentiment
post61,Neutral Sentiment
post62,Neutral Sentiment
post63,Positive Sentiment
post64,Positive Sentiment
post65,Positive Sentiment
post66,Positive Sentiment
post67,Neutral Sentiment
post68,Neutral Sentiment
post69,Neutral Sentiment
post70,Neutral Sentiment
post71,Positive Sentiment
post72,Neutral Sentiment
post73,Neutral Sentiment
post74,Neutral Sentiment
post75,Positive Sentiment
post76,Negative Sentiment
post77,Neutral Sentiment
post78,Negative Sentiment
post79,Positive Sentiment
post80,Positive Sentiment
post81,Positive Sentiment
post82,Neutral Sentiment
post83,Positive Sentiment
post84,Positive Sentiment
post85,Positive Sentiment
post86,Positive Sentiment
post87,Positive Sentiment
post88,Neutral Sentiment
post89,Neutral Sentiment
post90,Positive Sentiment
post91,Neutral Sentiment
post92,Neutral Sentiment
post93,Neutral Sentiment
post94,Neutral Sentiment
post95,Neutral Sentiment
post96,Neutral Sentiment
post97,Neutral Sentiment
post98,Neutral Sentiment
post99,Neutral Sentiment
post100,Neutral Sentiment
post101,Positive Sentiment
post102,Positive Sentiment
post103,Neutral Sentiment
post104,Neutral Sentiment
post105,Neutral Sentiment
post106,Neutral Sentiment
post107,Neutral Sentiment
post108,Neutral Sentiment
post109,Negative Sentiment
