Post #,Sentiment
post110,Neutral Sentiment
post111,Neutral Sentiment
post112,Neutral Sentiment
post113,Positive Sentiment
post114,Positive Sentiment
post115,Positive Sentiment
post116,Negative Sentiment
post117,Positive Sentiment
post118,Positive Sentiment
post119,Neutral Sentiment
post120,Negative Sentiment
post121,Positive Sentiment
post122,Positive Sentiment
post123,Neutral Sentiment
post124,Negative Sentiment
post125,Positive Sentiment
post126,Positive Sentiment
post127,Positive Sentiment
post128,Negative Sentiment
post129,Negative Sentiment
post130,Positive Sentiment
post131,Positive Sentiment
post132,Neutral Sentiment
post133,Negative Sentiment
post134,Positive Sentiment
post135,Positive Sentiment
post136,Positive Sentiment
post137,Negative Sentiment
post138,Positive Sentiment
post139,Positive Sentiment
post140,Negative Sentiment
post141,Positive Sentiment
post142,Neutral Sentiment
post143,Neutral Sentiment
post144,Neutral Sentiment
post145,Positive Sentiment
post146,Neutral Sentiment
post147,Positive Sentiment
post148,Positive Sentiment
post149,Neutral Sentiment
post150,Positive Sentiment
post151,Neutral Sentiment
post152,Positive Sentiment
post153,Negative Sentiment
post154,Neutral Sentiment
post155,Neutral Sentiment
post156,Positive Sentiment
post157,Positive Sentiment
post158,Negative Sentiment
post159,Negative Sentiment
post160,Positive Sentiment
post161,Negative Sentiment
post162,Positive Sentiment
post163,Neutral Sentiment
post164,Neutral Sentiment
post165,Positive Sentiment
post166,Positive Sentiment
post167,Neutral Sentiment
post168,Positive Sentiment
post169,Neutral Sentiment
post170,Neutral Sentiment
post171,Neutral Sentiment
post172,Neutral Sentiment
post173,Positive Sentiment
post174,Neutral Sentiment
post175,Negative Sentiment
post176,Positive Sentiment
post177,Positive Sentiment
post178,Positive Sentiment
post179,Neutral Sentiment
post180,Positive Sentiment
post181,Neutral Sentiment
post182,Positive Sentiment
post183,Negative Sentiment
post184,Neutral Sentiment
post185,Positive Sentiment
post186,Positive Sentiment
post187,Negative Sentiment
post188,Negative Sentiment
post189,Neutral Sentiment
post190,Positive Sentiment
post191,Negative Sentiment
post192,Negative Sentiment
post193,Positive Sentiment
post194,Positive Sentiment
post195,Neutral Sentiment
post196,Neutral Sentiment
post197,Positive Sentiment
post198,Positive Sentiment
post199,Positive Sentiment
post200,Neutral Sentiment
post201,Positive Sentiment
post202,Positive Sentiment
post203,Negative Sentiment
post204,Neutral Sentiment
post205,Negative Sentiment
post206,Negative Sentiment
post207,Neutral Sentiment
post208,Negative Sentiment
post209,Neutral Sentiment
post210,Positive Sentiment
post211,Positive Sentiment
post212,Neutral Sentiment
post213,Neutral Sentiment
post214,Neutral Sentiment
post215,Neutral Sentiment
post216,Negative Sentiment
post217,Neutral Sentiment
post218,Neutral Sentiment
post219,Neutral Sentiment
post220,Neutral Sentiment
post221,Negative Sentiment
post222,Positive Sentiment
post223,Neutral Sentiment
post224,Positive Sentiment
post225,Positive Sentiment
post226,Neutral Sentiment
post227,Neutral Sentiment
post228,Positive Sentiment
post229,Neutral Sentiment
post230,Neutral Sentiment
post231,Neutral Sentiment
post232,Neutral Sentiment
post233,Negative Sentiment
post234,Neutral Sentiment
post235,Positive Sentiment
post236,Positive Sentiment
post237,Positive Sentiment
post238,Positive Sentiment
post239,Neutral Sentiment
post240,Neutral Sentiment
post241,Positive Sentiment
post242,Positive Sentiment
post243,Positive Sentiment
post244,Positive Sentiment
post245,Neutral Sentiment
post246,Positive Sentiment
post247,Neutral Sentiment
post248,Neutral Sentiment
post249,Neutral Sentiment
post250,Negative Sentiment
post251,Negative Sentiment
post252,Neutral Sentiment
post253,Positive Sentiment
post254,Positive Sentiment
post255,Negative Sentiment
post256,Neutral Sentiment
post257,Negative Sentiment
post258,Positive Sentiment
post259,Neutral Sentiment
post260,Neutral Sentiment
post261,Positive Sentiment
post262,Positive Sentiment
post263,Positive Sentiment
post264,Negative Sentiment
post265,Positive Sentiment
post266,Negative Sentiment
post267,Negative Sentiment
post268,Positive Sentiment
post269,Neutral Sentiment
post270,Positive Sentiment
post271,Positive Sentiment
post272,Positive Sentiment
post273,Positive Sentiment
post274,Negative Sentiment
post275,Positive Sentiment
post276,Neutral Sentiment
post277,Neutral Sentiment
post278,Neutral Sentiment
post279,Neutral Sentiment
post280,Positive Sentiment
post281,Positive Sentiment
post282,Neutral Sentiment
post283,Positive Sentiment
post284,Neutral Sentiment
post285,Neutral Sentiment
post286,Positive Sentiment
post287,Neutral Sentiment
post288,Neutral Sentiment
post289,Positive Sentiment
post290,Positive Sentiment
post291,Negative Sentiment
post292,Positive Sentiment
post293,Positive Sentiment
post294,Neutral Sentiment
post295,Neutral Sentiment
post296,Positive Sentiment
post297,Positive Sentiment
post298,Neutral Sentiment
post299,Positive Sentiment
post300,Neutral Sentiment
post301,Positive Sentiment
post302,Positive Sentiment
post303,Neutral Sentiment
post304,Positive Sentiment
post305,Positive Sentiment
post306,Positive Sentiment
post307,Positive Sentiment
post308,Positive Sentiment
post309,Negative Sentiment
post310,Positive Sentiment
post311,Positive Sentiment
post312,Positive Sentiment
post313,Neutral Sentiment
post314,Positive Sentiment
post315,Positive Sentiment
post316,Neutral Sentiment
post317,Positive Sentiment
post318,Positive Sentiment
post319,Neutral Sentiment
post320,Neutral Sentiment
post321,Positive Sentiment
post322,Positive Sentiment
post323,Neutral Sentiment
post324,Positive Sentiment
post325,Neutral Sentiment
post326,Positive Sentiment
post327,Positive Sentiment
post328,Positive Sentiment
post329,Positive Sentiment
post330,Neutral Sentiment
post331,Neutral Sentiment
post332,Neutral Sentiment
post333,Positive Sentiment
post334,Neutral Sentiment
post335,Positive Sentiment
post336,Neutral Sentiment
post337,Positive Sentiment
post338,Negative Sentiment
post339,Neutral Sentiment
post340,Neutral Sentiment
post341,Neutral Sentiment
post342,Neutral Sentiment
post343,Neutral Sentiment
post344,Neutral Sentiment
post345,Neutral Sentiment
post346,Neutral Sentiment
post347,Neutral Sentiment
post348,Neutral Sentiment
post349,Neutral Sentiment
post350,Neutral Sentiment
post351,Neutral Sentiment
post352,Negative Sentiment
post353,Positive Sentiment
post354,Positive Sentiment
post355,Neutral Sentiment
post356,Neutral Sentiment
post357,Positive Sentiment
post358,Positive Sentiment
post359,Positive Sentiment
post360,Positive Sentiment
post361,Positive Sentiment
post362,Positive Sentiment
post363,Positive Sentiment
post364,Negative Sentiment
post365,Positive Sentiment
post366,Positive Sentiment
post367,Positive Sentiment
post368,Neutral Sentiment
post369,Neutral Sentiment
post370,Neutral Sentiment
post371,Positive Sentiment
post372,Negative Sentiment
post373,Neutral Sentiment
post374,Neutral Sentiment
post375,Positive Sentiment
post376,Negative Sentiment
post377,Neutral Sentiment
post378,Neutral Sentiment
post379,Positive Sentiment
post380,Positive Sentiment
post381,Neutral Sentiment
post382,Neutral Sentiment
post383,Positive Sentiment
post384,Neutral Sentiment
post385,Negative Sentiment
post386,Neutral Sentiment
post387,Positive Sentiment
post388,Positive Sentiment
post389,Neutral Sentiment
post390,Negative Sentiment
post391,Neutral Sentiment
post392,Neutral Sentiment
post393,Negative Sentiment
post394,Negative Sentiment
post395,Positive Sentiment
post396,Positive Sentiment
post397,Neutral Sentiment
post398,Positive Sentiment
post399,Positive Sentiment
post400,Positive Sentiment
post401,Neutral Sentiment
post402,Neutral Sentiment
post403,Positive Sentiment
post404,Neutral Sentiment
post405,Neutral Sentiment
post406,Negative Sentiment
post407,Positive Sentiment
post408,Positive Sentiment
post409,Neutral Sentiment
post410,Positive Sentiment
post411,Negative Sentiment
post412,Positive Sentiment
post413,Positive Sentiment
post414,Negative Sentiment
post415,Negative Sentiment
post416,Positive Sentiment
post417,Positive Sentiment
post418,Positive Sentiment
post419,Neutral Sentiment
post420,Neutral Sentiment
post421,Neutral Sentiment
post422,Positive Sentiment
post423,Neutral Sentiment
post424,Positive Sentiment
post425,Negative Sentiment
post426,Positive Sentiment
post427,Neutral Sentiment
post428,Positive Sentiment
post429,Positive Sentiment
post430,Neutral Sentiment
post431,Negative Sentiment
post432,Positive Sentiment
post433,Positive Sentiment
post434,Positive Sentiment
post435,Negative Sentiment
post436,Positive Sentiment
post437,Positive Sentiment
post438,Neutral Sentiment
post439,Neutral Sentiment
post440,Neutral Sentiment
post441,Neutral Sentiment
post442,Neutral Sentiment
post443,Positive Sentiment
post444,Neutral Sentiment
post445,Neutral Sentiment
post446,Neutral Sentiment
post447,Positive Sentiment
post448,Neutral Sentiment
post449,Neutral Sentiment
post450,Neutral Sentiment
post451,Positive Sentiment
post452,Neutral Sentiment
post453,Negative Sentiment
post454,Positive Sentiment
post455,Positive Sentiment
post456,Negative Sentiment
post457,Negative Sentiment
post458,Positive Sentiment
post459,Neutral Sentiment
post460,Positive Sentiment
post461,Negative Sentiment
post462,Negative Sentiment
post463,Positive Sentiment
post464,Neutral Sentiment
post465,Positive Sentiment
post466,Positive Sentiment
post467,Positive Sentiment
post468,Neutral Sentiment
post469,Neutral Sentiment
post470,Neutral Sentiment
post471,Neutral Sentiment
post472,Neutral Sentiment
post473,Neutral Sentiment
post474,Neutral Sentiment
post475,Positive Sentiment
post476,Positive Sentiment
post477,Positive Sentiment
post478,Negative Sentiment
post479,Negative Sentiment
post480,Negative Sentiment
post481,Neutral Sentiment
post482,Negative Sentiment
post483,Neutral Sentiment
post484,Positive Sentiment
post485,Positive Sentiment
post486,Neutral Sentiment
post487,Positive Sentiment
post488,Positive Sentiment
post489,Positive Sentiment
post490,Negative Sentiment
post491,Positive Sentiment
post492,Positive Sentiment
post493,Positive Sentiment
post494,Positive Sentiment
post495,Neutral Sentiment
post496,Neutral Sentiment
post497,Positive Sentiment
post498,Neutral Sentiment
post499,Neutral Sentiment
post500,Negative Sentiment
post501,Neutral Sentiment
post502,Positive Sentiment
post503,Positive Sentiment
post504,Positive Sentiment
post505,Positive Sentiment
post506,Neutral Sentiment
post507,Positive Sentiment
post508,Negative Sentiment
post509,Neutral Sentiment
post510,Positive Sentiment
post511,Positive Sentiment
post512,Neutral Sentiment
post513,Positive Sentiment
post514,Negative Sentiment
post515,Negative Sentiment
post516,Negative Sentiment
post517,Positive Sentiment
post518,Positive Sentiment
post519,Positive Sentiment
post520,Neutral Sentiment
post521,Neutral Sentiment
post522,Positive Sentiment
post523,Positive Sentiment
post524,Positive Sentiment
post525,Neutral Sentiment
post526,Positive Sentiment
post527,Neutral Sentiment
post528,Negative Sentiment
post529,Neutral Sentiment
post530,Positive Sentiment
post531,Positive Sentiment
post532,Positive Sentiment
post533,Negative Sentiment
post534,Neutral Sentiment
post535,Neutral Sentiment
post536,Positive Sentiment
post537,Positive Sentiment
post538,Neutral Sentiment
post539,Neutral Sentiment
post540,Negative Sentiment
post541,Positive Sentiment
post542,Neutral Sentiment
post543,Neutral Sentiment
post544,Neutral Sentiment
post545,Positive Sentiment
post546,Positive Sentiment
post547,Negative Sentiment
post548,Neutral Sentiment
post549,Positive Sentiment
post550,Neutral Sentiment
post551,Neutral Sentiment
post552,Neutral Sentiment
post553,Neutral Sentiment
post554,Positive Sentiment
post555,Neutral Sentiment
post556,Positive Sentiment
post557,Positive Sentiment
post558,Neutral Sentiment
post559,Negative Sentiment
post560,Negative Sentiment
post561,Positive Sentiment
post562,Positive Sentiment
post563,Positive Sentiment
post564,Positive Sentiment
post565,Negative Sentiment
post566,Neutral Sentiment
post567,Neutral Sentiment
post568,Positive Sentiment
post569,Positive Sentiment
post570,Neutral Sentiment
post571,Positive Sentiment
post572,Neutral Sentiment
post573,Positive Sentiment
post574,Neutral Sentiment
post575,Positive Sentiment
post576,Positive Sentiment
post577,Positive Sentiment
post578,Positive Sentiment
post579,Positive Sentiment
post580,Neutral Sentiment
post581,Positive Sentiment
post582,Positive Sentiment
post583,Neutral Sentiment
post584,Negative Sentiment
post585,Positive Sentiment
post586,Neutral Sentiment
post587,Neutral Sentiment
post588,Negative Sentiment
post589,Neutral Sentiment
post590,Positive Sentiment
post591,Positive Sentiment
post592,Neutral Sentiment
post593,Neutral Sentiment
post594,Negative Sentiment
post595,Negative Sentiment
post596,Positive Sentiment
post597,Positive Sentiment
post598,Positive Sentiment
post599,Neutral Sentiment
post600,Positive Sentiment
post601,Neutral Sentiment
post602,Positive Sentiment
post603,Neutral Sentiment
post604,Neutral Sentiment
post605,Positive Sentiment
post606,Positive Sentiment
post607,Positive Sentiment
post608,Neutral Sentiment
post609,Neutral Sentiment
post610,Neutral Sentiment
post611,Positive Sentiment
post612,Positive Sentiment
post613,Neutral Sentiment
post614,Neutral Sentiment
post615,Neutral Sentiment
post616,Positive Sentiment
post617,Neutral Sentiment
post618,Positive Sentiment
post619,Positive Sentiment
post620,Neutral Sentiment
post621,Neutral Sentiment
post622,Positive Sentiment
post623,Neutral Sentiment
post624,Positive Sentiment
post625,Neutral Sentiment
post626,Positive Sentiment
post627,Positive Sentiment
post628,Neutral Sentiment
post629,Neutral Sentiment
post630,Neutral Sentiment
post631,Positive Sentiment
post632,Positive Sentiment
post633,Negative Sentiment
post634,Neutral Sentiment
post635,Positive Sentiment
post636,Negative Sentiment
post637,Positive Sentiment
post638,Positive Sentiment
post639,Positive Sentiment
post640,Positive Sentiment
post641,Neutral Sentiment
post642,Neutral Sentiment
post643,Negative Sentiment
post644,Positive Sentiment
post645,Positive Sentiment
post646,Negative Sentiment
post647,Negative Sentiment
post648,Neutral Sentiment
post649,Positive Sentiment
post650,Positive Sentiment
post651,Positive Sentiment
post652,Neutral Sentiment
post653,Neutral Sentiment
post654,Positive Sentiment
post655,Neutral Sentiment
post656,Neutral Sentiment
post657,Positive Sentiment
post658,Neutral Sentiment
post659,Neutral Sentiment
post660,Neutral Sentiment
post661,Positive Sentiment
post662,Positive Sentiment
post663,Positive Sentiment
post664,Neutral Sentiment
post665,Neutral Sentiment
post666,Neutral Sentiment
post667,Neutral Sentiment
post668,Negative Sentiment
post669,Positive Sentiment
post670,Positive Sentiment
post671,Positive Sentiment
post672,Positive Sentiment
post673,Neutral Sentiment
post674,Negative Sentiment
post675,Negative Sentiment
post676,Positive Sentiment
post677,Neutral Sentiment
post678,Neutral Sentiment
post679,Neutral Sentiment
post680,Neutral Sentiment
post681,Negative Sentiment
post682,Neutral Sentiment
post683,Positive Sentiment
post684,Positive Sentiment
post685,Positive Sentiment
post686,Positive Sentiment
post687,Positive Sentiment
post688,Positive Sentiment
post689,Negative Sentiment
post690,Positive Sentiment
post691,Positive Sentiment
post692,Neutral Sentiment
post693,Positive Sentiment
post694,Neutral Sentiment
post695,Positive Sentiment
post696,Positive Sentiment
post697,Negative Sentiment
post698,Neutral Sentiment
post699,Positive Sentiment
post700,Neutral Sentiment
post701,Positive Sentiment
post702,Positive Sentiment
post703,Positive Sentiment
post704,Positive Sentiment
post705,Positive Sentiment
post706,Positive Sentiment
post707,Positive Sentiment
post708,Positive Sentiment
post709,Neutral Sentiment
post710,Neutral Sentiment
post711,Neutral Sentiment
post712,Positive Sentiment
post713,Positive Sentiment
post714,Neutral Sentiment
post715,Neutral Sentiment
post716,Neutral Sentiment
post717,Neutral Sentiment
post718,Negative Sentiment
post719,Positive Sentiment
post720,Positive Sentiment
post721,Positive Sentiment
post722,Neutral Sentiment
post723,Neutral Sentiment
post724,Positive Sentiment
post725,Neutral Sentiment
post726,Neutral Sentiment
post727,Neutral Sentiment
post728,Neutral Sentiment
post729,Neutral Sentiment
post730,Positive Sentiment
post731,Negative Sentiment
post732,Neutral Sentiment
post733,Negative Sentiment
post734,Neutral Sentiment
post735,Positive Sentiment
post736,Neutral Sentiment
post737,Negative Sentiment
post738,Neutral Sentiment
post739,Neutral Sentiment
post740,Neutral Sentiment
post741,Positive Sentiment
post742,Neutral Sentiment
post743,Neutral Sentiment
post744,Neutral Sentiment
post745,Positive Sentiment
post746,Neutral Sentiment
post747,Positive Sentiment
post748,Positive Sentiment
post749,Positive Sentiment
post750,Positive Sentiment
post751,Positive Sentiment
post752,Neutral Sentiment
post753,Neutral Sentiment
post754,Positive Sentiment
post755,Positive Sentiment
post756,Positive Sentiment
post757,Neutral Sentiment
post758,Positive Sentiment
post759,Positive Sentiment
post760,Neutral Sentiment
post761,Positive Sentiment
post762,Positive Sentiment
post763,Positive Sentiment
post764,Negative Sentiment
post765,Positive Sentiment
post766,Neutral Sentiment
post767,Positive Sentiment
post768,Positive Sentiment
post769,Positive Sentiment
post770,Positive Sentiment
post771,Neutral Sentiment
post772,Positive Sentiment
post773,Positive Sentiment
post774,Positive Sentiment
post775,Neutral Sentiment
post776,Neutral Sentiment
post777,Neutral Sentiment
post778,Positive Sentiment
post779,Positive Sentiment
post780,Neutral Sentiment
post781,Positive Sentiment
post782,Neutral Sentiment
post783,Neutral Sentiment
post784,Neutral Sentiment
post785,Negative Sentiment
post786,Neutral Sentiment
post787,Positive Sentiment
post788,Negative Sentiment
post789,Negative Sentiment
post790,Neutral Sentiment
post791,Positive Sentiment
post792,Negative Sentiment
post793,Positive Sentiment
post794,Positive Sentiment
post795,Positive Sentiment
post796,Positive Sentiment
post797,Positive Sentiment
post798,Neutral Sentiment
post799,Positive Sentiment
post800,Positive Sentiment
post801,Positive Sentiment
post802,Positive Sentiment
post803,Positive Sentiment
post804,Neutral Sentiment
post805,Neutral Sentiment
post806,Negative Sentiment
post807,Neutral Sentiment
post808,Positive Sentiment
post809,Neutral Sentiment
post810,Positive Sentiment
post811,Neutral Sentiment
post812,Negative Sentiment
post813,Positive Sentiment
post814,Neutral Sentiment
post815,Positive Sentiment
post816,Negative Sentiment
post817,Positive Sentiment
post818,Positive Sentiment
post819,Neutral Sentiment
post820,Positive Sentiment
post821,Neutral Sentiment
post822,Negative Sentiment
post823,Positive Sentiment
post824,Positive Sentiment
post825,Positive Sentiment
post826,Positive Sentiment
post827,Neutral Sentiment
post828,Positive Sentiment
post829,Negative Sentiment
post830,Positive Sentiment
post831,Neutral Sentiment
post832,Positive Sentiment
post833,Neutral Sentiment
post834,Neutral Sentiment
post835,Positive Sentiment
post836,Neutral Sentiment
post837,Positive Sentiment
post838,Neutral Sentiment
post839,Neutral Sentiment
post840,Negative Sentiment
post841,Positive Sentiment
post842,Positive Sentiment
post843,Positive Sentiment
post844,Positive Sentiment
post845,Neutral Sentiment
post846,Negative Sentiment
post847,Neutral Sentiment
post848,Negative Sentiment
post849,Positive Sentiment
post850,Negative Sentiment
post851,Neutral Sentiment
post852,Negative Sentiment
post853,Positive Sentiment
post854,Positive Sentiment
post855,Neutral Sentiment
post856,Positive Sentiment
post857,Positive Sentiment
post858,Neutral Sentiment
post859,Neutral Sentiment
post860,Positive Sentiment
post861,Positive Sentiment
post862,Neutral Sentiment
post863,Neutral Sentiment
post864,Neutral Sentiment
post865,Negative Sentiment
post866,Neutral Sentiment
post867,Neutral Sentiment
post868,Neutral Sentiment
post869,Neutral Sentiment
post870,Neutral Sentiment
post871,Neutral Sentiment
post872,Neutral Sentiment
post873,Neutral Sentiment
post874,Positive Sentiment
post875,Neutral Sentiment
post876,Positive Sentiment
post877,Neutral Sentiment
post878,Neutral Sentiment
post879,Neutral Sentiment
post880,Neutral Sentiment
post881,Neutral Sentiment
post882,Negative Sentiment
post883,Positive Sentiment
post884,Positive Sentiment
post885,Neutral Sentiment
post886,Positive Sentiment
post887,Neutral Sentiment
post888,Negative Sentiment
post889,Negative Sentiment
post890,Positive Sentiment
post891,Positive Sentiment
post892,Neutral Sentiment
post893,Neutral Sentiment
post894,Positive Sentiment
post895,Negative Sentiment
post896,Positive Sentiment
post897,Positive Sentiment
post898,Positive Sentiment
post899,Positive Sentiment
post900,Positive Sentiment
post901,Negative Sentiment
post902,Positive Sentiment
post903,Positive Sentiment
post904,Positive Sentiment
post905,Positive Sentiment
post906,Positive Sentiment
post907,Neutral Sentiment
post908,Positive Sentiment
post909,Neutral Sentiment
post910,Neutral Sentiment
post911,Neutral Sentiment
post912,Neutral Sentiment
post913,Positive Sentiment
post914,Positive Sentiment
post915,Positive Sentiment
post916,Positive Sentiment
post917,Positive Sentiment
post918,Positive Sentiment
post919,Positive Sentiment
post920,Neutral Sentiment
post921,Negative Sentiment
post922,Neutral Sentiment
post923,Positive Sentiment
post924,Positive Sentiment
post925,Positive Sentiment
post926,Neutral Sentiment
post927,Neutral Sentiment
post928,Positive Sentiment
post929,Neutral Sentiment
post930,Negative Sentiment
post931,Neutral Sentiment
post932,Positive Sentiment
post933,Neutral Sentiment
post934,Positive Sentiment
post935,Negative Sentiment
post936,Positive Sentiment
post937,Neutral Sentiment
post938,Positive Sentiment
post939,Positive Sentiment
post940,Positive Sentiment
post941,Neutral Sentiment
post942,Neutral Sentiment
post943,Neutral Sentiment
post944,Neutral Sentiment
post945,Negative Sentiment
post946,Neutral Sentiment
post947,Neutral Sentiment
post948,Positive Sentiment
post949,Positive Sentiment
post950,Negative Sentiment
post951,Positive Sentiment
post952,Neutral Sentiment
post953,Neutral Sentiment
post954,Neutral Sentiment
post955,Neutral Sentiment
post956,Neutral Sentiment
post957,Neutral Sentiment
post958,Neutral Sentiment
post959,Positive Sentiment
post960,Neutral Sentiment
post961,Positive Sentiment
post962,Negative Sentiment
post963,Positive Sentiment
post964,Positive Sentiment
post965,Neutral Sentiment
post966,Positive Sentiment
post967,Negative Sentiment
post968,Neutral Sentiment
post969,Neutral Sentiment
post970,Neutral Sentiment
post971,Neutral Sentiment
post972,Positive Sentiment
post973,Neutral Sentiment
post974,Negative Sentiment
post975,Negative Sentiment
post976,Positive Sentiment
post977,Positive Sentiment
post978,Positive Sentiment
post979,Neutral Sentiment
post980,Neutral Sentiment
post981,Positive Sentiment
post982,Positive Sentiment
post983,Neutral Sentiment
post984,Positive Sentiment
post985,Neutral Sentiment
post986,Neutral Sentiment
post987,Positive Sentiment
post988,Positive Sentiment
post989,Negative Sentiment
post990,Neutral Sentiment
post991,Neutral Sentiment
post992,Negative Sentiment
post993,Neutral Sentiment
post994,Positive Sentiment
post995,Positive Sentiment
post996,Neutral Sentiment
post997,Positive Sentiment
post998,Neutral Sentiment
post999,Neutral Sentiment
post1000,Neutral Sentiment
post1001,Negative Sentiment
post1002,Negative Sentiment
post1003,Negative Sentiment
post1004,Positive Sentiment
post1005,Positive Sentiment
post1006,Positive Sentiment
post1007,Neutral Sentiment
post1008,Positive Sentiment
post1009,Neutral Sentiment
post1010,Neutral Sentiment
post1011,Positive Sentiment
post1012,Neutral Sentiment
post1013,Positive Sentiment
post1014,Positive Sentiment
post1015,Positive Sentiment
post1016,Positive Sentiment
post1017,Negative Sentiment
post1018,Negative Sentiment
post1019,Neutral Sentiment
post1020,Neutral Sentiment
post1021,Negative Sentiment
post1022,Positive Sentiment
post1023,Negative Sentiment
post1024,Negative Sentiment
post1025,Neutral Sentiment
post1026,Positive Sentiment
post1027,Neutral Sentiment
post1028,Positive Sentiment
post1029,Neutral Sentiment
post1030,Positive Sentiment
post1031,Positive Sentiment
post1032,Positive Sentiment
post1033,Negative Sentiment
post1034,Negative Sentiment
post1035,Neutral Sentiment
post1036,Neutral Sentiment
post1037,Neutral Sentiment
post1038,Neutral Sentiment
post1039,Neutral Sentiment
post1040,Neutral Sentiment
post1041,Neutral Sentiment
post1042,Neutral Sentiment
post1043,Positive Sentiment
post1044,Negative Sentiment
post1045,Positive Sentiment
post1046,Positive Sentiment
post1047,Neutral Sentiment
post1048,Positive Sentiment
post1049,Positive Sentiment
post1050,Neutral Sentiment
post1051,Negative Sentiment
post1052,Neutral Sentiment
post1053,Positive Sentiment
post1054,Positive Sentiment
post1055,Positive Sentiment
post1056,Neutral Sentiment
post1057,Negative Sentiment
post1058,Neutral Sentiment
post1059,Neutral Sentiment
post1060,Negative Sentiment
post1061,Neutral Sentiment
post1062,Negative Sentiment
post1063,Neutral Sentiment
post1064,Positive Sentiment
post1065,Neutral Sentiment
post1066,Positive Sentiment
post1067,Neutral Sentiment
post1068,Neutral Sentiment
post1069,Positive Sentiment
post1070,Positive Sentiment
post1071,Negative Sentiment
post1072,Positive Sentiment
post1073,Positive Sentiment
post1074,Positive Sentiment
post1075,Negative Sentiment
post1076,Neutral Sentiment
post1077,Positive Sentiment
post1078,Positive Sentiment
post1079,Neutral Sentiment
post1080,Neutral Sentiment
post1081,Neutral Sentiment
post1082,Neutral Sentiment
post1083,Neutral Sentiment
post1084,Neutral Sentiment
post1085,Neutral Sentiment
post1086,Neutral Sentiment
post1087,Neutral Sentiment
post1088,Positive Sentiment
post1089,Neutral Sentiment
post1090,Positive Sentiment
post1091,Positive Sentiment
post1092,Positive Sentiment
post1093,Positive Sentiment
post1094,Negative Sentiment
post1095,Neutral Sentiment
post1096,Positive Sentiment
post1097,Positive Sentiment
post1098,Positive Sentiment
post1099,Neutral Sentiment
post1100,Positive Sentiment
post1101,Neutral Sentiment
post1102,Neutral Sentiment
post1103,Positive Sentiment
post1104,Neutral Sentiment
post1105,Negative Sentiment
post1106,Neutral Sentiment
post1107,Positive Sentiment
post1108,Neutral Sentiment
post1109,Positive Sentiment
post1110,Negative Sentiment
post1111,Neutral Sentiment
post1112,Neutral Sentiment
post1113,Positive Sentiment
post1114,Positive Sentiment
post1115,Positive Sentiment
post1116,Negative Sentiment
