Post #,Sentiment
post111,Positive Sentiment
post112,Positive Sentiment
post113,Neutral Sentiment
post114,Neutral Sentiment
post115,Positive Sentiment
post116,Neutral Sentiment
post117,Negative Sentiment
post118,Neutral Sentiment
post119,Positive Sentiment
post120,Positive Sentiment
post121,Neutral Sentiment
post122,Neutral Sentiment
post123,Positive Sentiment
post124,Neutral Sentiment
post125,Negative Sentiment
post126,Positive Sentiment
post127,Positive Sentiment
post128,Positive Sentiment
post129,Positive Sentiment
post130,Neutral Sentiment
post131,Positive Sentiment
post132,Neutral Sentiment
post133,Neutral Sentiment
post134,Neutral Sentiment
post135,Negative Sentiment
post136,Neutral Sentiment
post137,Positive Sentiment
post138,Positive Sentiment
post139,Negative Sentiment
post140,Positive Sentiment
post141,Positive Sentiment
post142,Positive Sentiment
post143,Negative Sentiment
post144,Positive Sentiment
post145,Positive Sentiment
post146,Positive Sentiment
post147,Positive Sentiment
post148,Neutral Sentiment
post149,Positive Sentiment
post150,Neutral Sentiment
post151,Negative Sentiment
post152,Positive Sentiment
post153,Positive Sentiment
post154,Neutral Sentiment
post155,Positive Sentiment
post156,Positive Sentiment
post157,Positive Sentiment
post158,Positive Sentiment
post159,Positive Sentiment
post160,Neutral Sentiment
post161,Positive Sentiment
post162,Positive Sentiment
post163,Neutral Sentiment
post164,Negative Sentiment
post165,Neutral Sentiment
post166,Positive Sentiment
post167,Neutral Sentiment
post168,Neutral Sentiment
post169,Neutral Sentiment
post170,Neutral Sentiment
post171,Negative Sentiment
post172,Positive Sentiment
post173,Negative Sentiment
post174,Neutral Sentiment
post175,Positive Sentiment
post176,Positive Sentiment
post177,Negative Sentiment
post178,Positive Sentiment
post179,Positive Sentiment
post180,Positive Sentiment
post181,Positive Sentiment
post182,Positive Sentiment
post183,Positive Sentiment
post184,Negative Sentiment
post185,Neutral Sentiment
post186,Neutral Sentiment
post187,Negative Sentiment
post188,Positive Sentiment
post189,Neutral Sentiment
post190,Neutral Sentiment
post191,Negative Sentiment
post192,Positive Sentiment
post193,Positive Sentiment
post194,Negative Sentiment
post195,Negative Sentiment
post196,Negative Sentiment
post197,Neutral Sentiment
post198,Negative Sentiment
post199,Positive Sentiment
post200,Positive Sentiment
post201,Positive Sentiment
post202,Positive Sentiment
post203,Positive Sentiment
post204,Positive Sentiment
post205,Positive Sentiment
post206,Positive Sentiment
post207,Positive Sentiment
post208,Negative Sentiment
post209,Positive Sentiment
post210,Positive Sentiment
post211,Neutral Sentiment
post212,Neutral Sentiment
post213,Positive Sentiment
post214,Neutral Sentiment
post215,Positive Sentiment
post216,Neutral Sentiment
post217,Positive Sentiment
post218,Positive Sentiment
post219,Positive Sentiment
post220,Neutral Sentiment
post221,Positive Sentiment
post222,Positive Sentiment
post223,Positive Sentiment
post224,Positive Sentiment
post225,Neutral Sentiment
post226,Positive Sentiment
post227,Positive Sentiment
post228,Positive Sentiment
post229,Positive Sentiment
post230,Positive Sentiment
post231,Positive Sentiment
post232,Neutral Sentiment
post233,Neutral Sentiment
post234,Positive Sentiment
post235,Neutral Sentiment
post236,Negative Sentiment
post237,Positive Sentiment
post238,Positive Sentiment
post239,Positive Sentiment
post240,Positive Sentiment
post241,Positive Sentiment
post242,Neutral Sentiment
post243,Neutral Sentiment
post244,Neutral Sentiment
post245,Neutral Sentiment
post246,Positive Sentiment
post247,Negative Sentiment
post248,Positive Sentiment
post249,Negative Sentiment
post250,Neutral Sentiment
post251,Neutral Sentiment
post252,Positive Sentiment
post253,Positive Sentiment
post254,Negative Sentiment
post255,Neutral Sentiment
post256,Neutral Sentiment
post257,Positive Sentiment
post258,Neutral Sentiment
post259,Positive Sentiment
post260,Neutral Sentiment
post261,Neutral Sentiment
post262,Neutral Sentiment
post263,Neutral Sentiment
post264,Positive Sentiment
post265,Positive Sentiment
post266,Positive Sentiment
post267,Neutral Sentiment
post268,Positive Sentiment
post269,Positive Sentiment
post270,Positive Sentiment
post271,Positive Sentiment
post272,Positive Sentiment
post273,Neutral Sentiment
post274,Positive Sentiment
post275,Neutral Sentiment
post276,Positive Sentiment
post277,Negative Sentiment
post278,Positive Sentiment
post279,Neutral Sentiment
post280,Positive Sentiment
post281,Neutral Sentiment
post282,Neutral Sentiment
post283,Neutral Sentiment
post284,Positive Sentiment
post285,Positive Sentiment
post286,Positive Sentiment
post287,Positive Sentiment
post288,Neutral Sentiment
post289,Neutral Sentiment
post290,Neutral Sentiment
post291,Positive Sentiment
post292,Positive Sentiment
post293,Positive Sentiment
post294,Neutral Sentiment
post295,Neutral Sentiment
post296,Positive Sentiment
post297,Negative Sentiment
post298,Positive Sentiment
post299,Neutral Sentiment
post300,Positive Sentiment
post301,Positive Sentiment
post302,Positive Sentiment
post303,Neutral Sentiment
post304,Positive Sentiment
post305,Positive Sentiment
post306,Positive Sentiment
post307,Positive Sentiment
post308,Neutral Sentiment
post309,Neutral Sentiment
post310,Neutral Sentiment
post311,Positive Sentiment
post312,Negative Sentiment
post313,Positive Sentiment
post314,Neutral Sentiment
post315,Neutral Sentiment
post316,Neutral Sentiment
post317,Neutral Sentiment
post318,Neutral Sentiment
post319,Neutral Sentiment
post320,Neutral Sentiment
post321,Neutral Sentiment
post322,Positive Sentiment
post323,Positive Sentiment
post324,Neutral Sentiment
post325,Positive Sentiment
post326,Positive Sentiment
post327,Neutral Sentiment
post328,Positive Sentiment
post329,Negative Sentiment
post330,Positive Sentiment
post331,Positive Sentiment
post332,Positive Sentiment
post333,Neutral Sentiment
post334,Positive Sentiment
post335,Negative Sentiment
post336,Neutral Sentiment
post337,Positive Sentiment
post338,Positive Sentiment
post339,Neutral Sentiment
post340,Negative Sentiment
post341,Negative Sentiment
post342,Neutral Sentiment
post343,Negative Sentiment
post344,Neutral Sentiment
post345,Neutral Sentiment
post346,Positive Sentiment
post347,Neutral Sentiment
post348,Neutral Sentiment
post349,Neutral Sentiment
post350,Neutral Sentiment
post351,Neutral Sentiment
post352,Positive Sentiment
post353,Positive Sentiment
post354,Positive Sentiment
post355,Positive Sentiment
post356,Positive Sentiment
post357,Negative Sentiment
post358,Negative Sentiment
post359,Positive Sentiment
post360,Positive Sentiment
post361,Positive Sentiment
post362,Neutral Sentiment
post363,Positive Sentiment
post364,Positive Sentiment
post365,Neutral Sentiment
post366,Positive Sentiment
post367,Neutral Sentiment
post368,Negative Sentiment
post369,Neutral Sentiment
post370,Neutral Sentiment
post371,Positive Sentiment
post372,Neutral Sentiment
post373,Neutral Sentiment
post374,Neutral Sentiment
post375,Neutral Sentiment
post376,Positive Sentiment
post377,Positive Sentiment
post378,Positive Sentiment
post379,Neutral Sentiment
post380,Negative Sentiment
post381,Positive Sentiment
post382,Positive Sentiment
post383,Positive Sentiment
post384,Negative Sentiment
post385,Positive Sentiment
post386,Positive Sentiment
post387,Neutral Sentiment
post388,Positive Sentiment
post389,Positive Sentiment
post390,Neutral Sentiment
post391,Positive Sentiment
post392,Positive Sentiment
post393,Positive Sentiment
post394,Positive Sentiment
post395,Neutral Sentiment
post396,Positive Sentiment
post397,Positive Sentiment
post398,Positive Sentiment
post399,Positive Sentiment
post400,Negative Sentiment
post401,Negative Sentiment
post402,Neutral Sentiment
post403,Neutral Sentiment
post404,Neutral Sentiment
post405,Neutral Sentiment
post406,Neutral Sentiment
post407,Neutral Sentiment
post408,Neutral Sentiment
post409,Negative Sentiment
post410,Neutral Sentiment
post411,Neutral Sentiment
post412,Negative Sentiment
post413,Neutral Sentiment
post414,Positive Sentiment
post415,Neutral Sentiment
post416,Neutral Sentiment
post417,Neutral Sentiment
post418,Positive Sentiment
post419,Positive Sentiment
post420,Positive Sentiment
post421,Positive Sentiment
post422,Positive Sentiment
post423,Negative Sentiment
post424,Positive Sentiment
post425,Positive Sentiment
post426,Positive Sentiment
post427,Neutral Sentiment
post428,Neutral Sentiment
post429,Neutral Sentiment
post430,Positive Sentiment
post431,Negative Sentiment
post432,Positive Sentiment
post433,Neutral Sentiment
post434,Neutral Sentiment
post435,Positive Sentiment
post436,Positive Sentiment
post437,Positive Sentiment
post438,Positive Sentiment
post439,Positive Sentiment
post440,Positive Sentiment
post441,Positive Sentiment
post442,Positive Sentiment
post443,Positive Sentiment
post444,Positive Sentiment
post445,Positive Sentiment
post446,Positive Sentiment
post447,Positive Sentiment
post448,Neutral Sentiment
post449,Negative Sentiment
post450,Negative Sentiment
post451,Positive Sentiment
post452,Neutral Sentiment
post453,Positive Sentiment
post454,Neutral Sentiment
post455,Positive Sentiment
post456,Neutral Sentiment
post457,Neutral Sentiment
post458,Negative Sentiment
post459,Positive Sentiment
post460,Positive Sentiment
post461,Neutral Sentiment
post462,Positive Sentiment
post463,Neutral Sentiment
post464,Negative Sentiment
post465,Neutral Sentiment
post466,Negative Sentiment
post467,Negative Sentiment
post468,Neutral Sentiment
post469,Neutral Sentiment
post470,Neutral Sentiment
post471,Neutral Sentiment
post472,Neutral Sentiment
post473,Neutral Sentiment
post474,Neutral Sentiment
post475,Neutral Sentiment
post476,Positive Sentiment
post477,Negative Sentiment
post478,Neutral Sentiment
post479,Positive Sentiment
post480,Neutral Sentiment
post481,Positive Sentiment
post482,Neutral Sentiment
post483,Positive Sentiment
post484,Positive Sentiment
post485,Positive Sentiment
post486,Positive Sentiment
post487,Positive Sentiment
post488,Positive Sentiment
post489,Neutral Sentiment
post490,Positive Sentiment
post491,Positive Sentiment
post492,Positive Sentiment
post493,Neutral Sentiment
post494,Negative Sentiment
post495,Neutral Sentiment
post496,Negative Sentiment
post497,Neutral Sentiment
post498,Neutral Sentiment
post499,Neutral Sentiment
post500,Positive Sentiment
post501,Positive Sentiment
post502,Neutral Sentiment
post503,Neutral Sentiment
post504,Neutral Sentiment
post505,Positive Sentiment
post506,Positive Sentiment
post507,Neutral Sentiment
post508,Positive Sentiment
post509,Positive Sentiment
post510,Neutral Sentiment
post511,Neutral Sentiment
post512,Positive Sentiment
post513,Positive Sentiment
post514,Positive Sentiment
post515,Positive Sentiment
post516,Positive Sentiment
post517,Positive Sentiment
post518,Neutral Sentiment
post519,Negative Sentiment
post520,Neutral Sentiment
post521,Neutral Sentiment
post522,Neutral Sentiment
post523,Positive Sentiment
post524,Positive Sentiment
post525,Positive Sentiment
post526,Neutral Sentiment
post527,Positive Sentiment
post528,Neutral Sentiment
post529,Neutral Sentiment
post530,Positive Sentiment
post531,Neutral Sentiment
post532,Neutral Sentiment
post533,Neutral Sentiment
post534,Positive Sentiment
post535,Neutral Sentiment
post536,Positive Sentiment
post537,Positive Sentiment
post538,Positive Sentiment
post539,Positive Sentiment
post540,Neutral Sentiment
post541,Neutral Sentiment
post542,Neutral Sentiment
post543,Positive Sentiment
post544,Negative Sentiment
post545,Positive Sentiment
post546,Neutral Sentiment
post547,Positive Sentiment
post548,Positive Sentiment
post549,Neutral Sentiment
post550,Neutral Sentiment
post551,Neutral Sentiment
post552,Negative Sentiment
post553,Neutral Sentiment
post554,Negative Sentiment
post555,Neutral Sentiment
post556,Neutral Sentiment
post557,Neutral Sentiment
post558,Positive Sentiment
post559,Positive Sentiment
post560,Positive Sentiment
post561,Neutral Sentiment
post562,Neutral Sentiment
post563,Negative Sentiment
post564,Positive Sentiment
post565,Positive Sentiment
post566,Positive Sentiment
post567,Positive Sentiment
post568,Neutral Sentiment
post569,Neutral Sentiment
post570,Positive Sentiment
post571,Neutral Sentiment
post572,Neutral Sentiment
post573,Negative Sentiment
post574,Neutral Sentiment
post575,Positive Sentiment
post576,Positive Sentiment
post577,Positive Sentiment
post578,Positive Sentiment
post579,Negative Sentiment
post580,Neutral Sentiment
post581,Positive Sentiment
post582,Positive Sentiment
post583,Positive Sentiment
post584,Positive Sentiment
post585,Neutral Sentiment
post586,Negative Sentiment
post587,Neutral Sentiment
post588,Neutral Sentiment
post589,Positive Sentiment
post590,Positive Sentiment
post591,Negative Sentiment
post592,Positive Sentiment
post593,Positive Sentiment
post594,Positive Sentiment
post595,Positive Sentiment
post596,Neutral Sentiment
post597,Neutral Sentiment
post598,Negative Sentiment
post599,Positive Sentiment
post600,Positive Sentiment
post601,Positive Sentiment
post602,Positive Sentiment
post603,Neutral Sentiment
post604,Positive Sentiment
post605,Neutral Sentiment
post606,Negative Sentiment
post607,Negative Sentiment
post608,Positive Sentiment
post609,Negative Sentiment
post610,Neutral Sentiment
post611,Negative Sentiment
post612,Neutral Sentiment
post613,Neutral Sentiment
post614,Neutral Sentiment
post615,Positive Sentiment
post616,Negative Sentiment
post617,Positive Sentiment
post618,Negative Sentiment
post619,Positive Sentiment
post620,Negative Sentiment
post621,Negative Sentiment
post622,Neutral Sentiment
post623,Positive Sentiment
post624,Neutral Sentiment
post625,Neutral Sentiment
post626,Positive Sentiment
post627,Neutral Sentiment
post628,Neutral Sentiment
post629,Neutral Sentiment
post630,Positive Sentiment
post631,Positive Sentiment
post632,Neutral Sentiment
post633,Positive Sentiment
post634,Positive Sentiment
post635,Positive Sentiment
post636,Neutral Sentiment
post637,Neutral Sentiment
post638,Positive Sentiment
post639,Positive Sentiment
post640,Neutral Sentiment
post641,Neutral Sentiment
post642,Negative Sentiment
post643,Positive Sentiment
post644,Neutral Sentiment
post645,Positive Sentiment
post646,Positive Sentiment
post647,Neutral Sentiment
post648,Positive Sentiment
post649,Negative Sentiment
post650,Negative Sentiment
post651,Neutral Sentiment
post652,Neutral Sentiment
post653,Positive Sentiment
post654,Neutral Sentiment
post655,Neutral Sentiment
post656,Neutral Sentiment
post657,Positive Sentiment
post658,Positive Sentiment
post659,Negative Sentiment
post660,Positive Sentiment
post661,Positive Sentiment
post662,Neutral Sentiment
post663,Neutral Sentiment
post664,Neutral Sentiment
post665,Negative Sentiment
post666,Negative Sentiment
post667,Positive Sentiment
post668,Positive Sentiment
post669,Negative Sentiment
post670,Positive Sentiment
post671,Positive Sentiment
post672,Neutral Sentiment
post673,Positive Sentiment
post674,Neutral Sentiment
post675,Negative Sentiment
post676,Positive Sentiment
post677,Neutral Sentiment
post678,Neutral Sentiment
post679,Neutral Sentiment
post680,Positive Sentiment
post681,Positive Sentiment
post682,Neutral Sentiment
post683,Negative Sentiment
post684,Positive Sentiment
post685,Neutral Sentiment
post686,Neutral Sentiment
post687,Neutral Sentiment
post688,Neutral Sentiment
post689,Neutral Sentiment
post690,Negative Sentiment
post691,Neutral Sentiment
post692,Neutral Sentiment
post693,Neutral Sentiment
post694,Neutral Sentiment
post695,Neutral Sentiment
post696,Positive Sentiment
post697,Positive Sentiment
post698,Neutral Sentiment
post699,Neutral Sentiment
post700,Neutral Sentiment
post701,Neutral Sentiment
post702,Positive Sentiment
post703,Positive Sentiment
post704,Neutral Sentiment
post705,Neutral Sentiment
post706,Positive Sentiment
post707,Neutral Sentiment
post708,Negative Sentiment
post709,Neutral Sentiment
post710,Neutral Sentiment
post711,Neutral Sentiment
post712,Neutral Sentiment
post713,Positive Sentiment
post714,Neutral Sentiment
post715,Positive Sentiment
post716,Positive Sentiment
post717,Neutral Sentiment
post718,Neutral Sentiment
post719,Neutral Sentiment
post720,Positive Sentiment
post721,Positive Sentiment
post722,Positive Sentiment
post723,Positive Sentiment
post724,Positive Sentiment
post725,Neutral Sentiment
post726,Neutral Sentiment
post727,Positive Sentiment
post728,Positive Sentiment
post729,Positive Sentiment
post730,Positive Sentiment
post731,Neutral Sentiment
post732,Positive Sentiment
post733,Positive Sentiment
post734,Negative Sentiment
post735,Positive Sentiment
post736,Positive Sentiment
post737,Negative Sentiment
post738,Positive Sentiment
post739,Neutral Sentiment
post740,Neutral Sentiment
post741,Neutral Sentiment
post742,Neutral Sentiment
post743,Positive Sentiment
post744,Positive Sentiment
post745,Positive Sentiment
post746,Positive Sentiment
post747,Positive Sentiment
post748,Neutral Sentiment
post749,Neutral Sentiment
post750,Positive Sentiment
post751,Neutral Sentiment
post752,Neutral Sentiment
post753,Positive Sentiment
post754,Positive Sentiment
post755,Positive Sentiment
post756,Positive Sentiment
post757,Neutral Sentiment
post758,Neutral Sentiment
post759,Negative Sentiment
post760,Neutral Sentiment
post761,Neutral Sentiment
post762,Neutral Sentiment
post763,Positive Sentiment
post764,Neutral Sentiment
post765,Neutral Sentiment
post766,Positive Sentiment
post767,Neutral Sentiment
post768,Negative Sentiment
post769,Neutral Sentiment
post770,Neutral Sentiment
post771,Positive Sentiment
post772,Negative Sentiment
post773,Neutral Sentiment
post774,Neutral Sentiment
post775,Neutral Sentiment
post776,Neutral Sentiment
post777,Neutral Sentiment
post778,Neutral Sentiment
post779,Neutral Sentiment
post780,Positive Sentiment
post781,Positive Sentiment
post782,Positive Sentiment
post783,Neutral Sentiment
post784,Neutral Sentiment
post785,Neutral Sentiment
post786,Positive Sentiment
post787,Neutral Sentiment
post788,Positive Sentiment
post789,Positive Sentiment
post790,Neutral Sentiment
post791,Negative Sentiment
post792,Positive Sentiment
post793,Positive Sentiment
post794,Positive Sentiment
post795,Neutral Sentiment
post796,Positive Sentiment
post797,Positive Sentiment
post798,Positive Sentiment
post799,Positive Sentiment
post800,Neutral Sentiment
post801,Neutral Sentiment
post802,Positive Sentiment
post803,Neutral Sentiment
post804,Negative Sentiment
post805,Positive Sentiment
post806,Negative Sentiment
post807,Neutral Sentiment
post808,Positive Sentiment
post809,Neutral Sentiment
post810,Positive Sentiment
post811,Negative Sentiment
post812,Positive Sentiment
post813,Neutral Sentiment
post814,Negative Sentiment
post815,Positive Sentiment
post816,Positive Sentiment
post817,Positive Sentiment
post818,Positive Sentiment
post819,Positive Sentiment
post820,Neutral Sentiment
post821,Neutral Sentiment
post822,Neutral Sentiment
post823,Neutral Sentiment
post824,Positive Sentiment
post825,Positive Sentiment
post826,Positive Sentiment
post827,Neutral Sentiment
post828,Neutral Sentiment
post829,Neutral Sentiment
post830,Neutral Sentiment
post831,Neutral Sentiment
post832,Neutral Sentiment
post833,Positive Sentiment
post834,Neutral Sentiment
post835,Positive Sentiment
post836,Positive Sentiment
post837,Positive Sentiment
post838,Neutral Sentiment
post839,Negative Sentiment
post840,Neutral Sentiment
post841,Positive Sentiment
post842,Positive Sentiment
post843,Neutral Sentiment
post844,Positive Sentiment
post845,Positive Sentiment
post846,Neutral Sentiment
post847,Neutral Sentiment
post848,Neutral Sentiment
post849,Positive Sentiment
post850,Neutral Sentiment
post851,Negative Sentiment
post852,Positive Sentiment
post853,Neutral Sentiment
post854,Neutral Sentiment
post855,Negative Sentiment
post856,Neutral Sentiment
post857,Positive Sentiment
post858,Neutral Sentiment
post859,Neutral Sentiment
post860,Negative Sentiment
post861,Neutral Sentiment
post862,Neutral Sentiment
post863,Neutral Sentiment
post864,Neutral Sentiment
post865,Neutral Sentiment
post866,Positive Sentiment
post867,Positive Sentiment
post868,Negative Sentiment
post869,Positive Sentiment
post870,Positive Sentiment
post871,Neutral Sentiment
post872,Negative Sentiment
post873,Positive Sentiment
post874,Positive Sentiment
post875,Positive Sentiment
post876,Positive Sentiment
post877,Positive Sentiment
post878,Neutral Sentiment
post879,Positive Sentiment
post880,Negative Sentiment
post881,Negative Sentiment
post882,Neutral Sentiment
post883,Neutral Sentiment
post884,Positive Sentiment
post885,Positive Sentiment
post886,Positive Sentiment
post887,Positive Sentiment
post888,Negative Sentiment
post889,Positive Sentiment
post890,Neutral Sentiment
post891,Positive Sentiment
post892,Positive Sentiment
post893,Neutral Sentiment
post894,Positive Sentiment
post895,Neutral Sentiment
post896,Positive Sentiment
post897,Neutral Sentiment
post898,Positive Sentiment
post899,Neutral Sentiment
post900,Neutral Sentiment
post901,Negative Sentiment
post902,Neutral Sentiment
post903,Positive Sentiment
post904,Positive Sentiment
post905,Neutral Sentiment
post906,Positive Sentiment
post907,Positive Sentiment
post908,Neutral Sentiment
post909,Neutral Sentiment
post910,Neutral Sentiment
post911,Positive Sentiment
post912,Neutral Sentiment
post913,Neutral Sentiment
post914,Positive Sentiment
post915,Positive Sentiment
post916,Neutral Sentiment
post917,Neutral Sentiment
post918,Negative Sentiment
post919,Positive Sentiment
post920,Neutral Sentiment
post921,Positive Sentiment
post922,Neutral Sentiment
post923,Neutral Sentiment
post924,Neutral Sentiment
post925,Neutral Sentiment
post926,Negative Sentiment
post927,Negative Sentiment
post928,Positive Sentiment
post929,Neutral Sentiment
post930,Positive Sentiment
post931,Positive Sentiment
post932,Neutral Sentiment
post933,Positive Sentiment
post934,Positive Sentiment
post935,Neutral Sentiment
post936,Positive Sentiment
post937,Positive Sentiment
post938,Positive Sentiment
post939,Positive Sentiment
post940,Positive Sentiment
post941,Positive Sentiment
post942,Neutral Sentiment
post943,Neutral Sentiment
post944,Neutral Sentiment
post945,Neutral Sentiment
post946,Neutral Sentiment
post947,Negative Sentiment
post948,Neutral Sentiment
post949,Positive Sentiment
post950,Neutral Sentiment
post951,Positive Sentiment
post952,Neutral Sentiment
post953,Negative Sentiment
post954,Negative Sentiment
post955,Positive Sentiment
post956,Neutral Sentiment
post957,Positive Sentiment
post958,Positive Sentiment
post959,Positive Sentiment
post960,Negative Sentiment
post961,Positive Sentiment
post962,Positive Sentiment
post963,Positive Sentiment
post964,Positive Sentiment
post965,Neutral Sentiment
post966,Negative Sentiment
post967,Negative Sentiment
post968,Neutral Sentiment
post969,Neutral Sentiment
post970,Neutral Sentiment
post971,Neutral Sentiment
post972,Neutral Sentiment
post973,Neutral Sentiment
post974,Neutral Sentiment
post975,Neutral Sentiment
post976,Positive Sentiment
post977,Neutral Sentiment
post978,Neutral Sentiment
post979,Positive Sentiment
post980,Negative Sentiment
post981,Neutral Sentiment
post982,Neutral Sentiment
post983,Negative Sentiment
post984,Positive Sentiment
post985,Neutral Sentiment
post986,Positive Sentiment
post987,Neutral Sentiment
post988,Positive Sentiment
post989,Neutral Sentiment
post990,Positive Sentiment
post991,Neutral Sentiment
post992,Positive Sentiment
post993,Positive Sentiment
post994,Positive Sentiment
post995,Neutral Sentiment
post996,Neutral Sentiment
post997,Positive Sentiment
post998,Positive Sentiment
post999,Neutral Sentiment
post1000,Neutral Sentiment
post1001,Neutral Sentiment
post1002,Neutral Sentiment
post1003,Positive Sentiment
post1004,Positive Sentiment
post1005,Negative Sentiment
post1006,Negative Sentiment
post1007,Positive Sentiment
post1008,Positive Sentiment
post1009,Negative Sentiment
post1010,Positive Sentiment
post1011,Positive Sentiment
post1012,Positive Sentiment
post1013,Positive Sentiment
post1014,Neutral Sentiment
post1015,Neutral Sentiment
post1016,Positive Sentiment
post1017,Positive Sentiment
post1018,Negative Sentiment
post1019,Positive Sentiment
post1020,Positive Sentiment
post1021,Neutral Sentiment
post1022,Neutral Sentiment
post1023,Negative Sentiment
post1024,Neutral Sentiment
post1025,Neutral Sentiment
post1026,Neutral Sentiment
post1027,Positive Sentiment
post1028,Neutral Sentiment
post1029,Neutral Sentiment
post1030,Positive Sentiment
post1031,Neutral Sentiment
post1032,Negative Sentiment
post1033,Positive Sentiment
post1034,Negative Sentiment
post1035,Neutral Sentiment
post1036,Neutral Sentiment
post1037,Positive Sentiment
post1038,Positive Sentiment
post1039,Positive Sentiment
post1040,Neutral Sentiment
post1041,Neutral Sentiment
post1042,Negative Sentiment
post1043,Positive Sentiment
post1044,Neutral Sentiment
post1045,Neutral Sentiment
post1046,Positive Sentiment
post1047,Negative Sentiment
post1048,Positive Sentiment
post1049,Positive Sentiment
post1050,Positive Sentiment
post1051,Neutral Sentiment
post1052,Positive Sentiment
post1053,Neutral Sentiment
post1054,Positive Sentiment
post1055,Positive Sentiment
post1056,Negative Sentiment
post1057,Positive Sentiment
post1058,Positive Sentiment
post1059,Positive Sentiment
post1060,Neutral Sentiment
post1061,Neutral Sentiment
post1062,Positive Sentiment
post1063,Positive Sentiment
post1064,Positive Sentiment
post1065,Positive Sentiment
post1066,Neutral Sentiment
post1067,Positive Sentiment
post1068,Positive Sentiment
post1069,Positive Sentiment
post1070,Neutral Sentiment
post1071,Neutral Sentiment
post1072,Positive Sentiment
post1073,Neutral Sentiment
post1074,Negative Sentiment
post1075,Positive Sentiment
post1076,Negative Sentiment
post1077,Positive Sentiment
post1078,Positive Sentiment
post1079,Neutral Sentiment
post1080,Negative Sentiment
post1081,Positive Sentiment
post1082,Positive Sentiment
post1083,Neutral Sentiment
post1084,Positive Sentiment
post1085,Neutral Sentiment
post1086,Negative Sentiment
post1087,Positive Sentiment
post1088,Positive Sentiment
post1089,Negative Sentiment
post1090,Neutral Sentiment
post1091,Neutral Sentiment
post1092,Negative Sentiment
post1093,Neutral Sentiment
post1094,Negative Sentiment
post1095,Negative Sentiment
post1096,Neutral Sentiment
post1097,Neutral Sentiment
post1098,Positive Sentiment
post1099,Positive Sentiment
post1100,Positive Sentiment
post1101,Neutral Sentiment
post1102,Neutral Sentiment
post1103,Neutral Sentiment
post1104,Neutral Sentiment
post1105,Positive Sentiment
post1106,Neutral Sentiment
post1107,Negative Sentiment
post1108,Neutral Sentiment
post1109,Neutral Sentiment
post1110,Neutral Sentiment
post1111,Neutral Sentiment
post1112,Positive Sentiment
post1113,Neutral Sentiment
post1114,Neutral Sentiment
post1115,Positive Sentiment
post1116,Neutral Sentiment
