Post #,Sentiment
post1,Neutral Sentiment
post2,Positive Sentiment
post3,Positive Sentiment
post4,Positive Sentiment
post5,Positive Sentiment
post6,Positive Sentiment
post7,Positive Sentiment
post8,Positive Sentiment
post9,Positive Sentiment
post10,Positive Sentiment
post11,Positive Sentiment
post12,Neutral Sentiment
post13,Neutral Sentiment
post14,Negative Sentiment
post15,Neutral Sentiment
post16,Neutral Sentiment
post17,Positive Sentiment
post18,Neutral Sentiment
post19,Positive Sentiment
post20,Positive Sentiment
post21,Positive Sentiment
post22,Positive Sentiment
post23,Positive Sentiment
post24,Positive Sentiment
post25,Positive Sentiment
post26,Positive Sentiment
post27,Positive Sentiment
post28,Positive Sentiment
post29,Negative Sentiment
post30,Positive Sentiment
post31,Neutral Sentiment
post32,Neutral Sentiment
post33,Positive Sentiment
post34,Negative Sentiment
post35,Positive Sentiment
post36,Neutral Sentiment
post37,Neutral Sentiment
post38,Negative Sentiment
post39,Neutral Sentiment
post40,Negative Sentiment
post41,Negative Sentiment
post42,Positive Sentiment
post43,Negative Sentiment
post44,Positive Sentiment
post45,Positive Sentiment
post46,Positive Sentiment
post47,Neutral Sentiment
post48,Positive Sentiment
post49,Positive Sentiment
post50,Neutral Sentiment
post51,Positive Sentiment
post52,Neutral Sentiment
post53,Neutral Sentiment
post54,Positive Sentiment
post55,Positive Sentiment
post56,Positive Sentiment
post57,Neutral Sentiment
post58,Neutral Sentiment
post59,Positive Sentiment
post60,Neutral Sentiment
post61,Neutral Sentiment
post62,Neutral Sentiment
post63,Neutral Sentiment
post64,Neutral Sentiment
post65,Negative Sentiment
post66,Neutral Sentiment
post67,Neutral Sentiment
post68,Neutral Sentiment
post69,Neutral Sentiment
post70,Neutral Sentiment
post71,Positive Sentiment
post72,Neutral Sentiment
post73,Positive Sentiment
post74,Positive Sentiment
post75,Positive Sentiment
post76,Positive Sentiment
post77,Neutral Sentiment
post78,Positive Sentiment
post79,Positive Sentiment
post80,Negative Sentiment
post81,Negative Sentiment
post82,Positive Sentiment
post83,Positive Sentiment
post84,Neutral Sentiment
post85,Neutral Sentiment
post86,Negative Sentiment
post87,Positive Sentiment
post88,Neutral Sentiment
post89,Negative Sentiment
post90,Neutral Sentiment
post91,Neutral Sentiment
post92,Positive Sentiment
post93,Negative Sentiment
post94,Positive Sentiment
post95,Neutral Sentiment
post96,Positive Sentiment
post97,Neutral Sentiment
post98,Neutral Sentiment
post99,Positive Sentiment
post100,Negative Sentiment
post101,Positive Sentiment
post102,Positive Sentiment
post103,Neutral Sentiment
post104,Neutral Sentiment
post105,Neutral Sentiment
post106,Neutral Sentiment
post107,Neutral Sentiment
post108,Neutral Sentiment
post109,Neutral Sentiment
post110,Neutral Sentiment
